Date,Open,High,Low,Close
2013-04-25,1555000064.0,1642499968.0,1542499968.0,1615000064.0
2013-04-26,1657500032.0,1697500032.0,1607500032.0,1620000000.0
2013-04-29,1572499968.0,1624999936.0,1550000000.0,1602499968.0
2013-04-30,1602499968.0,1655000064.0,1562499968.0,1575000064.0
2013-05-01,1600000000.0,1707500032.0,1590000000.0,1704999936.0
2013-05-02,1644999936.0,1660000000.0,1575000064.0,1590000000.0
2013-05-03,1517500032.0,1547500032.0,1504999936.0,1520000000.0
2013-05-06,1517500032.0,1524999936.0,1452499968.0,1467500032.0
2013-05-07,1427500032.0,1484999936.0,1415000064.0,1440000000.0
2013-05-08,1467500032.0,1517500032.0,1442499968.0,1457500032.0
2013-05-09,1484999936.0,1572499968.0,1475000064.0,1512499968.0
2013-05-10,1535000064.0,1567500032.0,1482499968.0,1484999936.0
2013-05-13,1490000000.0,1517500032.0,1460000000.0,1464999936.0
2013-05-14,1452499968.0,1480000000.0,1432499968.0,1444999936.0
2013-05-15,1472499968.0,1495000064.0,1440000000.0,1464999936.0
2013-05-16,1484999936.0,1522499968.0,1452499968.0,1492499968.0
2013-05-17,1477500032.0,1482499968.0,1404999936.0,1412499968.0
2013-05-20,1450000000.0,1455000064.0,1407500032.0,1452499968.0
2013-05-21,1440000000.0,1497500032.0,1427500032.0,1475000064.0
2013-05-22,1452499968.0,1557500032.0,1432499968.0,1510000000.0
2013-05-23,1652499968.0,1657500032.0,1512499968.0,1527500032.0
2013-05-24,1570000000.0,1587500032.0,1517500032.0,1527500032.0
2013-05-28,1437500032.0,1492499968.0,1420000000.0,1444999936.0
2013-05-29,1495000064.0,1557500032.0,1470000000.0,1490000000.0
2013-05-30,1500000000.0,1532499968.0,1460000000.0,1490000000.0
2013-05-31,1520000000.0,1597500032.0,1484999936.0,1584999936.0
2013-06-03,1584999936.0,1755000064.0,1577500032.0,1582499968.0
2013-06-04,1604999936.0,1720000000.0,1577500032.0,1622499968.0
2013-06-05,1682499968.0,1772499968.0,1652499968.0,1757500032.0
2013-06-06,1787500032.0,1955000064.0,1715000064.0,1720000000.0
2013-06-07,1620000000.0,1670000000.0,1555000064.0,1562499968.0
2013-06-10,1520749952.0,1576249984.0,1508749952.0,1526499968.0
2013-06-11,1651500032.0,1748000000.0,1594249984.0,1730249984.0
2013-06-12,1649500032.0,1969250048.0,1640999936.0,1931250048.0
2013-06-13,1928999936.0,1980000000.0,1725500032.0,1744249984.0
2013-06-14,1757250048.0,1852499968.0,1678499968.0,1837250048.0
2013-06-17,1749500032.0,1837500032.0,1726249984.0,1762249984.0
2013-06-18,1751000064.0,1767250048.0,1713750016.0,1714499968.0
2013-06-19,1743500032.0,1769500032.0,1558499968.0,1712000000.0
2013-06-20,1854499968.0,2218749952.0,1840000000.0,2110000000.0
2013-06-21,1974499968.0,2196750080.0,1924999936.0,1953250048.0
2013-06-24,2156999936.0,2246000128.0,2060999936.0,2186749952.0
2013-06-25,2049750016.0,2151500032.0,2028249984.0,2055500032.0
2013-06-26,1955000064.0,2047250048.0,1950249984.0,1967000064.0
2013-06-27,1870499968.0,1903000064.0,1804999936.0,1810000000.0
2013-06-28,1879500032.0,1909500032.0,1731750016.0,1792249984.0
2013-07-01,1736249984.0,1743500032.0,1613750016.0,1674249984.0
2013-07-02,1716499968.0,1777250048.0,1637500032.0,1727500032.0
2013-07-03,1763000064.0,1779250048.0,1667000064.0,1687000064.0
2013-07-05,1600000000.0,1653750016.0,1514249984.0,1514249984.0
2013-07-08,1430000000.0,1443750016.0,1362499968.0,1381500032.0
2013-07-09,1303500032.0,1340999936.0,1290499968.0,1317750016.0
2013-07-10,1317750016.0,1330499968.0,1277750016.0,1288999936.0
2013-07-11,1208249984.0,1251250048.0,1198249984.0,1221500032.0
2013-07-12,1222749952.0,1262749952.0,1210000000.0,1245500032.0
2013-07-15,1222000000.0,1242499968.0,1175250048.0,1191000064.0
