Date,Open,High,Low,Close
2023-10-09,97.72,99.08,93.12,93.24
2023-10-10,92.32,92.36,88.96,90.12
2023-10-11,89.0,93.24,88.0,88.48
2023-10-12,87.52,94.08,85.72,90.4
2023-10-13,90.2,103.64,89.6,101.28
2023-10-16,97.48,97.8,91.4,91.64
2023-10-17,95.04,96.08,90.2,94.2
2023-10-18,96.36,101.48,95.64,100.24
2023-10-19,98.68,105.588,97.2,105.2
2023-10-20,105.32,107.72,102.76,105.84
2023-10-23,107.76,109.42,98.76,102.2
2023-10-24,99.68,102.24,97.18,97.56
2023-10-25,98.04,106.28,98.04,103.92
2023-10-26,104.16,107.92,102.32,104.84
2023-10-27,102.84,108.88,101.44,108.32
2023-10-30,104.16,104.396,100.08,100.24
2023-10-31,99.84,100.68,93.68,93.8
2023-11-01,93.12,93.12,89.36,89.84
2023-11-02,87.8,89.28,86.68,86.76
2023-11-03,85.3,85.88,84.16,84.72
2023-11-06,83.68,84.344,81.8,81.92
2023-11-07,81.76,82.6,80.96,81.52
2023-11-08,80.56,82.48,79.64,80.0
2023-11-09,79.12,83.88,78.94,83.08
2023-11-10,81.6,81.76,78.98,79.72
2023-11-13,80.28,80.72,78.04,78.84
2023-11-14,76.04,78.42,75.832,78.24
2023-11-15,77.0,77.564,76.288,76.6
2023-11-16,76.48,76.96,75.28,75.4
2023-11-17,75.04,75.72,74.0,74.24
2023-11-20,73.8,73.96,72.9,73.68
2023-11-21,73.96,74.04,71.96,72.24
2023-11-22,71.32,73.52,71.08,72.8
2023-11-24,72.04,72.56,69.36,69.68
2023-11-27,70.32,70.36,69.72,70.16
2023-11-28,69.8,70.476,68.8,69.24
2023-11-29,68.56,70.56,68.48,70.24
2023-11-30,69.84,70.76,69.0,69.16
2023-12-01,68.8,69.16,68.0,68.92
2023-12-04,70.08,71.28,69.0,69.12
2023-12-05,69.4,69.56,68.52,68.64
2023-12-06,67.92,69.4,67.52,68.96
2023-12-07,68.64,69.38,68.48,69.0
2023-12-08,68.4,68.48,66.88,67.0
2023-12-11,66.76,66.96,65.34,65.48
2023-12-12,64.56,64.96,63.18,63.6
2023-12-13,63.2,64.2,62.452,62.84
2023-12-14,62.08,64.36,62.08,62.48
2023-12-15,62.84,64.8,62.44,64.56
2023-12-18,64.48,64.96,64.28,64.72
2023-12-19,65.2,65.84,64.8,65.68
2023-12-20,65.4,70.52,65.0,69.68
2023-12-21,68.732,70.3,67.52,68.24
2023-12-22,67.88,69.32,66.44,66.44
2023-12-26,66.28,66.72,64.64,64.88
2023-12-27,64.24,64.24,62.0,62.08
2023-12-28,61.84,62.8,61.64,61.92
2023-12-29,61.96,63.6,61.52,62.08
2024-01-02,63.8,64.84,61.72,62.08
2024-01-03,63.26,65.4,62.32,64.4
2024-01-04,64.48,64.68,63.08,64.32
2024-01-05,63.72,63.8,61.6,62.2
2024-01-08,62.16,62.44,60.0,60.76
2024-01-09,61.32,61.44,59.2,59.36
2024-01-10,58.96,59.2,58.4,58.72
2024-01-11,57.88,60.56,57.72,58.4
2024-01-12,58.2,59.6,58.132,59.36
2024-01-16,60.8,62.68,60.04,61.44
2024-01-17,63.28,65.2,62.2,63.76
2024-01-18,62.16,63.6,61.28,61.56
2024-01-19,60.32,60.728,59.52,60.0
2024-01-22,59.24,59.68,57.8,58.0
2024-01-23,57.24,57.4,56.28,56.32
2024-01-24,55.88,57.84,55.724,57.8
2024-01-25,57.68,58.68,57.36,58.44
2024-01-26,58.44,58.76,57.36,58.12
2024-01-29,58.16,59.216,57.96,58.36
2024-01-30,58.16,58.28,57.44,57.6
2024-01-31,57.72,61.0,57.56,60.52
2024-02-01,59.8,61.16,58.8,60.04
2024-02-02,59.76,60.44,58.86,59.96
2024-02-05,59.44,60.68,57.44,57.6
2024-02-06,57.08,57.756,56.12,56.2
2024-02-07,55.68,56.48,55.6,56.0
2024-02-08,55.84,56.68,55.48,55.68
2024-02-09,55.44,56.28,55.0,56.08
2024-02-12,55.72,57.86,55.56,57.28
2024-02-13,59.16,65.24,58.64,61.32
2024-02-14,59.0,60.24,57.84,58.28
2024-02-15,57.6,58.86,57.22,57.68
2024-02-16,58.04,58.5,56.48,57.6
2024-02-20,58.48,60.96,58.2,59.48
2024-02-21,59.784,60.36,58.8,58.96
2024-02-22,56.72,57.96,55.96,57.84
